"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?

цього читати респондентам не потрібно (Карлін-столінські хасиди, вшановують пам’ять свого цадика (духовного провідника) Шломо Готліба Карлінера, який помер у 1792 році і похований на колишньому єврейському цвинтарі, нині це паркова зона в районі вулиці Драгоманова)  ","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/06 11:41:37 AM GMT+3","Чоловіча","2009","10-20 років","Студент","10 000 грн - 20 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Частково","Так","Вали городища;Заклади харчування;Центральна площа","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 11:43:48 AM GMT+3","Чоловіча","2009","10-20 років","Учень","до 10 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Частково","Так","Так","Вали городища","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 12:01:46 PM GMT+3","Жіноча","","2-5 років","Студент","10 000 грн - 20 000 грн","10%-20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Ні","Так","Ні","Вали городища","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 12:24:55 PM GMT+3","Жіноча","2007","2-5 років","Студент","","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Частково","Частково","Так","Таких немає","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 12:42:55 PM GMT+3","Жіноча","1970","менше 2 років","","","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","","Частково","Так","","Вали городища","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн)"
"2025/09/06 12:51:35 PM GMT+3","","2012","5-10 років","Учень","",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Частково","Так","Ні","Заклади харчування","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 1:03:43 PM GMT+3","Чоловіча","1979","","","","до 5%","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","середній (B1)","Частково","Так","Ні","","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"
"2025/09/06 1:13:28 PM GMT+3","Чоловіча","2019","10-20 років","Працівник","",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","початковий (A1)","Ні","Так","Так","Вали городища;Таких немає","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Торгово-розважальний центр"
"2025/09/06 1:15:18 PM GMT+3","Чоловіча","2005","5-10 років","Працівник","20 000 грн - 40 000 грн",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Частково","Так","Ні","Вали городища;Таких немає","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 1:26:36 PM GMT+3","Жіноча","2011","10-20 років","Учень","","","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Так","Так","Так","Вали городища;Храми","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 1:32:16 PM GMT+3","Жіноча","2010","менше 2 років","Учень","","","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","початковий (A1)","","Так","Ні","Вали городища;Храми;Заклади харчування","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 1:45:00 PM GMT+3","Чоловіча","1988","","Військовослужбовець","","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","","Ні","Так","Частково","Вали городища;Храми;Центральна площа","Піша доріжка, яка обєднуватиме туристичні об'єкти","Сувенірні крамниці, майстерні ремесел"
"2025/09/06 2:11:36 PM GMT+3","Жіноча","2012","10-20 років","Учень","","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Так","Так","Ні","Вали городища;Храми;Заклади харчування;Вежа на консервному заводі;Центральна площа","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 2:18:17 PM GMT+3","Чоловіча","2010","10-20 років","Учень","","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Частково","Центральна площа","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 2:35:58 PM GMT+3","Жіноча","1996","більше 20 років","Тимчасово не працюю","",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Так","Так","Ні","Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 2:43:16 PM GMT+3","Жіноча","1996","","","","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","","Так","Так","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 2:57:08 PM GMT+3","Жіноча","1983","","Працівник","","10%-20%","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Частково","Так","Ні","Вали городища;Храми;Заклади харчування;Вежа на консервному заводі;Центральна площа","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 3:05:21 PM GMT+3","Жіноча","2010","","Учень","","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","","Частково","Так","Центральна площа","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 3:15:56 PM GMT+3","Жіноча","1989","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","","Ні","Так","Так","Храми","Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"